firstVideo,secondVideo,congruent,corrAns
TomVideos/BottleChangeSeen.mp4,TomVideos/BottleEndMentaD.mp4,1,correct
TomVideos/BottleChangeSeen.mp4,TomVideos/BottleEndMentaG.mp4,0,incorrect
TomVideos/BottleChangeUnseen.mp4,TomVideos/BottleEndMentaD.mp4,0,incorrect
TomVideos/BottleChangeUnseen.mp4,TomVideos/BottleEndMentaG.mp4,1,correct
TomVideos/BottleChangeSeen.mp4,TomVideos/BottleEndMecaD.mp4,1,correct
TomVideos/BottleChangeSeen.mp4,TomVideos/BottleEndMecaG.mp4,0,incorrect
TomVideos/BottleChangeUnseen.mp4,TomVideos/BottleEndMecaD.mp4,1,correct
TomVideos/BottleChangeUnseen.mp4,TomVideos/BottleEndMecaG.mp4,0,incorrect
TomVideos/BottleNoChange.mp4,TomVideos/BottleEndMentaD.mp4,0,incorrect
TomVideos/BottleNoChange.mp4,TomVideos/BottleEndMecaD.mp4,0,incorrect
TomVideos/BottleNoChange.mp4,TomVideos/BottleEndMentaG.mp4,1,correct
TomVideos/BottleNoChange.mp4,TomVideos/BottleEndMecaG.mp4,1,correct
TomVideos/CakeChangeSeen.mp4,TomVideos/CakeEndMentaD.mp4,1,correct
TomVideos/CakeChangeSeen.mp4,TomVideos/CakeEndMentaG.mp4,0,incorrect
TomVideos/CakeChangeUnseen.mp4,TomVideos/CakeEndMentaD.mp4,0,incorrect
TomVideos/CakeChangeUnseen.mp4,TomVideos/CakeEndMentaG.mp4,1,correct
TomVideos/CakeChangeSeen.mp4,TomVideos/CakeEndMecaD.mp4,1,correct
TomVideos/CakeChangeSeen.mp4,TomVideos/CakeEndMecaG.mp4,0,incorrect
TomVideos/CakeChangeUnseen.mp4,TomVideos/CakeEndMecaD.mp4,1,correct
TomVideos/CakeChangeUnseen.mp4,TomVideos/CakeEndMecaG.mp4,0,incorrect
TomVideos/CakeNoChange.mp4,TomVideos/CakeEndMentaD.mp4,0,incorrect
TomVideos/CakeNoChange.mp4,TomVideos/CakeEndMecaD.mp4,0,incorrect
TomVideos/CakeNoChange.mp4,TomVideos/CakeEndMentaG.mp4,1,correct
TomVideos/CakeNoChange.mp4,TomVideos/CakeEndMecaG.mp4,1,correct
TomVideos/EggChangeSeen.mp4,TomVideos/EggEndMentaD.mp4,1,correct
TomVideos/EggChangeSeen.mp4,TomVideos/EggEndMentaG.mp4,0,incorrect
TomVideos/EggChangeUnseen.mp4,TomVideos/EggEndMentaD.mp4,0,incorrect
TomVideos/EggChangeUnseen.mp4,TomVideos/EggEndMentaG.mp4,1,correct
TomVideos/EggChangeSeen.mp4,TomVideos/EggEndMecaD.mp4,1,correct
